"","Data","Trait","Fold","k","Env","Top_percentage_to_select","Line","Observed","Predicted","Line.1","Observed.1","Predicted.1","Line.2","Observed.2","Predicted.2"
"37","Rice_Kim_2020","y.pheno",2,1,1,0.2,"B1217",3654.14122665438,0,"B1217",3469,0,"B1217",3469,0
"38","Rice_Kim_2020","y.pheno",2,1,1,0.2,"M1363",3692.14572920248,0,"M1363",3555,0,"M1363",3555,0
"39","Rice_Kim_2020","y.pheno",2,1,1,0.2,"B1105",3688.84529760355,0,"B1105",3729.33333333333,0,"B1105",3729.33333333333,0
"40","Rice_Kim_2020","y.pheno",2,1,1,0.2,"B1155",3672.7362142103,0,"B1155",3459,0,"B1155",3459,1
"41","Rice_Kim_2020","y.pheno",2,1,1,0.2,"M1463",3669.0749030785,0,"M1463",3451.66666666667,0,"M1463",3451.66666666667,0
"42","Rice_Kim_2020","y.pheno",2,1,1,0.2,"A1319",3647.53554581093,0,"A1319",3638,0,"A1319",3638,1
"43","Rice_Kim_2020","y.pheno",3,1,1,0.2,"A1261",3768.40717716168,3768.40717716168,"A1261",4085,3768.40717716168,"A1261",4085,0
"44","Rice_Kim_2020","y.pheno",3,1,1,0.2,"B1110",3616.07849591171,0,"B1110",3876.66666666667,0,"B1110",3876.66666666667,0
"45","Rice_Kim_2020","y.pheno",3,1,1,0.2,"A1269",3688.9844972037,0,"A1269",3767,0,"A1269",3767,0
"46","Rice_Kim_2020","y.pheno",3,1,1,0.2,"M1464",3719.30277194438,3719.30277194438,"M1464",3561,3719.30277194438,"M1464",3561,1
"47","Rice_Kim_2020","y.pheno",3,1,1,0.2,"B1005",3706.84866083446,3706.84866083446,"B1005",3829.33333333333,3706.84866083446,"B1005",3829.33333333333,1
"48","Rice_Kim_2020","y.pheno",3,1,1,0.2,"M1469",3604.46787416947,0,"M1469",3485.33333333333,0,"M1469",3485.33333333333,0
"49","Rice_Kim_2020","y.pheno",3,1,1,0.2,"M1362",3719.59041416208,3719.59041416208,"M1362",3427.33333333333,3719.59041416208,"M1362",3427.33333333333,1
"50","Rice_Kim_2020","y.pheno",3,1,1,0.2,"A1264",3685.01392358131,0,"A1264",3700.33333333333,0,"A1264",3700.33333333333,0
"51","Rice_Kim_2020","y.pheno",3,1,1,0.2,"A1279",3694.74208696221,0,"A1279",3714.33333333333,0,"A1279",3714.33333333333,0
"52","Rice_Kim_2020","y.pheno",3,1,1,0.2,"B1207",3702.26066618264,0,"B1207",3501,0,"B1207",3501,0
"53","Rice_Kim_2020","y.pheno",3,1,1,0.2,"B1105",3634.0104161813,0,"B1105",3729.33333333333,0,"B1105",3729.33333333333,0
"54","Rice_Kim_2020","y.pheno",3,1,1,0.2,"B1010",3672.11338059552,0,"B1010",3960.33333333333,0,"B1010",3960.33333333333,1
"55","Rice_Kim_2020","y.pheno",3,1,1,0.2,"B1060",3626.00225101249,0,"B1060",3756,0,"B1060",3756,0
"56","Rice_Kim_2020","y.pheno",3,1,1,0.2,"M1367",3635.06474680206,0,"M1367",3344,0,"M1367",3344,0
"57","Rice_Kim_2020","y.pheno",3,1,1,0.2,"B1007",3564.97285417553,0,"B1007",4259.66666666667,0,"B1007",4259.66666666667,0
"58","Rice_Kim_2020","y.pheno",3,1,1,0.2,"B1159",3700.38534764057,0,"B1159",3696,0,"B1159",3696,0
"59","Rice_Kim_2020","y.pheno",3,1,1,0.2,"A1314",3691.4414346053,0,"A1314",3633.66666666667,0,"A1314",3633.66666666667,0
"60","Rice_Kim_2020","y.pheno",3,1,1,0.2,"M1471",3698.71851029995,0,"M1471",3415.33333333333,0,"M1471",3415.33333333333,0
"61","Rice_Kim_2020","y.pheno",3,1,1,0.2,"M1360",3635.9367747859,0,"M1360",3484.33333333333,0,"M1360",3484.33333333333,0
"62","Rice_Kim_2020","y.pheno",3,1,1,0.2,"A1265",3614.92226137304,0,"A1265",3565.66666666667,0,"A1265",3565.66666666667,0
"63","Rice_Kim_2020","y.pheno",3,1,1,0.2,"M1354",3605.66873616567,0,"M1354",3545,0,"M1354",3545,0
