"","Data","Env","Trait","Top_percentage_to_select","K_Value","Line","Observed","Predicted"
"68","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1111",599,0
"69","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1112",599,0
"70","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1113",599,0
"71","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1114",599,0
"72","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1117",539,0
"73","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1118",539,0
"74","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1119",539,0
"75","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1120",539,0
"76","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1121",621,0
"77","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1122",621,0
"78","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1123",570,0
"79","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1124",570,0
"80","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1125",657,0
"81","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1126",657,0
"82","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1127",657,0
"83","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1128",657,0
"84","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1129",621,0
"85","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1130",621,0
"86","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1131",660,0
"87","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1132",660,660
"88","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1133",660,0
"89","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1134",660,0
"90","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1135",83,0
"91","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1136",83,0
"92","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1137",83,0
"93","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1138",83,0
"94","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1139",599,0
"95","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1140",599,0
"96","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1141",599,0
"97","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1146",568,0
"98","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1147",568,0
"99","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1148",574,0
"100","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1149",574,0
"101","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1154",539,0
"102","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1155",660,660
"103","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1156",660,0
"104","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1157",660,0
"105","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1158",660,0
