"","Data","Trait","testing_proportion","Fold","k","Env","Top_percentage_to_select","PM","PM_True","PM_Total_Rand","TBV_QP","TBV_Trad","TBV_Trad_True","TBV_Total_Rand","Mean_BV_QP","Mean_BV_Trad","Mean_BV_Trad_True","Mean_BV_Total_Rand","Var_Opt_QP","Var_Trad","Var_Trad_True","Var_Total_Rand","Expected_Loss_QP","Expected_Loss_Trad","Expected_Loss_Trad_True","Expected_Loss_Total_Rand","Ratio_QP","Ratio_Trad","Ratio_Trad_True","Ratio_Total_Rand","Ave_Rel_QP","Ave_Rel_Trad","Ave_Rel_Trad_True","Ave_Rel_Total_Rand"
"1","Indica_AL","GY",0.2,1,1,NA,0.2,100,23.0769230769231,0,146978.558853171,146978.558853171,154412.736871184,138489.745780946,11306.0429887055,11306.0429887055,11877.902836245,10653.0573677651,24.0810775607313,24.0810775607313,12.6406529701545,18.7356003285572,146954.477775611,146954.477775611,154400.096218214,138471.010180618,6103.48762352924,6103.48762352924,12215.5664929465,7391.79654520368,0.14049613080391,0.14049613080391,0.0617038152366251,0.0157319001921569
"2","Indica_AL","GY",0.2,2,1,NA,0.2,92.3076923076923,30.7692307692308,23.0769230769231,147540.484791962,147541.300720504,155313.4325636,145464.610668019,11349.2680609202,11349.3308246542,11947.1871202769,11189.5854360014,24.0986067918478,24.1140021335474,11.307150579444,6.91380502671425,147516.38618517,147517.186718371,155302.125413021,145457.696862992,6122.36574779389,6118.49082136577,13735.8595759709,21039.7328397254,0.140446600558676,0.140579276831629,0.0465661404211224,-0.00693876112136526
"3","Indica_AL","GY",0.2,3,1,NA,0.2,100,30.7692307692308,15.3846153846154,147764.887118016,147764.887118016,154485.890158643,139969.413129582,11366.5297783089,11366.5297783089,11883.5300122033,10766.8779330448,23.8654144901825,23.8654144901825,19.2008206597328,10.4676560924641,147741.021703526,147741.021703526,154466.689337983,139958.94547349,6191.59106491957,6191.59106491957,8045.79621342045,13371.6098325345,0.138889015161462,0.138889015161462,0.107858277778608,0.015933091984383
"4","Indica_AL","GY",0.2,4,1,NA,0.2,100,53.8461538461538,30.7692307692308,147258.193829197,147258.193829197,152869.825978801,144191.08655221,11327.5533714767,11327.5533714767,11759.2173829847,11091.6220424777,24.4200403002655,24.4200403002655,15.9233547263831,8.28536599386815,147233.773788897,147233.773788897,152853.902624074,144182.801186217,6030.21911587903,6030.21911587903,9600.35297872967,17403.1040582786,0.142600541660583,0.142600541660583,0.0776844144014315,0.0110272019229148
"5","Indica_AL","GY",0.2,5,1,NA,0.2,92.3076923076923,38.4615384615385,30.7692307692308,147239.451451447,147239.549028773,154743.982388892,142138.843282436,11326.1116501113,11326.1191560595,11903.383260684,10933.757175572,24.0129530376808,24.2335329728111,9.69969736744247,11.6359310674039,147215.438498409,147215.3154958,154734.282691525,142127.207351369,6131.6678219626,6075.85980937938,15953.485611654,12215.5109427053,0.139983172208772,0.141603459711078,0.0333791923697861,-0.00290177790591394
