"","Data","Trait","Fold","k","Env","Top_percentage_to_select","Line","Observed","Predicted","Line.1","Observed.1","Predicted.1","Line.2","Observed.2","Predicted.2"
"37","Indica_AL","GY",1,1,NA,0.2,"Line_118",11298.2007828416,11298.2007828416,"Line_118",11542.0601132309,11298.2007828416,"Line_118",11542.0601132309,0
"38","Indica_AL","GY",1,1,NA,0.2,"Line_284",11308.1303809624,11308.1303809624,"Line_284",11995.20587882,11308.1303809624,"Line_284",11995.20587882,0
"39","Indica_AL","GY",1,1,NA,0.2,"Line_305",10765.8198790724,0,"Line_305",10490.3933445274,0,"Line_305",10490.3933445274,1
"40","Indica_AL","GY",1,1,NA,0.2,"Line_272",11290.6735390366,0,"Line_272",11901.7776980145,0,"Line_272",11901.7776980145,0
"41","Indica_AL","GY",1,1,NA,0.2,"Line_192",10770.5790885781,0,"Line_192",9804.04170641431,0,"Line_192",9804.04170641431,0
"42","Indica_AL","GY",1,1,NA,0.2,"Line_33",11313.7874309475,11313.7874309475,"Line_33",11462.3370278458,11313.7874309475,"Line_33",11462.3370278458,1
"43","Indica_AL","GY",1,1,NA,0.2,"Line_62",11141.2880798742,0,"Line_62",11033.9600229706,0,"Line_62",11033.9600229706,1
"44","Indica_AL","GY",1,1,NA,0.2,"Line_191",9507.39202134848,0,"Line_191",10620.7602874649,0,"Line_191",10620.7602874649,0
"45","Indica_AL","GY",1,1,NA,0.2,"Line_11",11225.3938487159,0,"Line_11",10592.5588867954,0,"Line_11",10592.5588867954,0
"46","Indica_AL","GY",1,1,NA,0.2,"Line_86",11273.7460757419,0,"Line_86",11137.3910989374,0,"Line_86",11137.3910989374,0
"47","Indica_AL","GY",1,1,NA,0.2,"Line_257",10949.9564159066,0,"Line_257",9699.76344895436,0,"Line_257",9699.76344895436,0
"48","Indica_AL","GY",1,1,NA,0.2,"Line_55",11291.9179988918,0,"Line_55",11471.9744243641,0,"Line_55",11471.9744243641,0
"49","Indica_AL","GY",1,1,NA,0.2,"Line_198",10864.2747617233,0,"Line_198",9620.33085325019,0,"Line_198",9620.33085325019,0
"50","Indica_AL","GY",1,1,NA,0.2,"Line_174",10427.0815284532,0,"Line_174",10763.6568229639,0,"Line_174",10763.6568229639,0
"51","Indica_AL","GY",1,1,NA,0.2,"Line_124",10522.3654691522,0,"Line_124",10849.4618138856,0,"Line_124",10849.4618138856,1
"52","Indica_AL","GY",1,1,NA,0.2,"Line_225",10797.5178976347,0,"Line_225",11766.4311380873,0,"Line_225",11766.4311380873,0
"53","Indica_AL","GY",1,1,NA,0.2,"Line_325",10397.8164718575,0,"Line_325",9933.67115382462,0,"Line_325",9933.67115382462,0
"54","Indica_AL","GY",1,1,NA,0.2,"Line_298",10786.7719206559,0,"Line_298",10327.2031542221,0,"Line_298",10327.2031542221,0
"55","Indica_AL","GY",1,1,NA,0.2,"Line_196",10591.3257294297,0,"Line_196",9953.33742578296,0,"Line_196",9953.33742578296,1
"56","Indica_AL","GY",1,1,NA,0.2,"Line_128",11309.009649311,11309.009649311,"Line_128",11267.6432462009,11309.009649311,"Line_128",11267.6432462009,0
"57","Indica_AL","GY",1,1,NA,0.2,"Line_67",11293.2827294836,0,"Line_67",11700.2612149702,0,"Line_67",11700.2612149702,0
"58","Indica_AL","GY",1,1,NA,0.2,"Line_232",10331.173359716,0,"Line_232",10193.0952618376,0,"Line_232",10193.0952618376,0
"59","Indica_AL","GY",1,1,NA,0.2,"Line_190",10597.6114911862,0,"Line_190",11081.0841769774,0,"Line_190",11081.0841769774,0
"60","Indica_AL","GY",1,1,NA,0.2,"Line_229",9782.58485506319,0,"Line_229",9990.63056062398,0,"Line_229",9990.63056062398,0
"61","Indica_AL","GY",1,1,NA,0.2,"Line_204",10651.0317684872,0,"Line_204",10829.6649305406,0,"Line_204",10829.6649305406,1
"62","Indica_AL","GY",1,1,NA,0.2,"Line_195",10289.4975884819,0,"Line_195",9435.73539452828,0,"Line_195",9435.73539452828,0
"63","Indica_AL","GY",1,1,NA,0.2,"Line_156",10596.2934145827,0,"Line_156",11613.9949286579,0,"Line_156",11613.9949286579,0
"64","Indica_AL","GY",1,1,NA,0.2,"Line_30",11316.8447853941,11316.8447853941,"Line_30",11988.6321614654,11316.8447853941,"Line_30",11988.6321614654,0
"65","Indica_AL","GY",1,1,NA,0.2,"Line_6",11322.0506570578,11322.0506570578,"Line_6",11048.2899721425,11322.0506570578,"Line_6",11048.2899721425,0
"66","Indica_AL","GY",2,1,NA,0.2,"Line_277",11340.9522787009,11340.9522787009,"Line_277",11079.4130658885,11340.9522787009,"Line_277",11079.4130658885,1
"67","Indica_AL","GY",2,1,NA,0.2,"Line_4",11062.2654244169,0,"Line_4",10411.3975361005,0,"Line_4",10411.3975361005,0
"68","Indica_AL","GY",2,1,NA,0.2,"Line_5",10946.6617790311,0,"Line_5",11936.0645309296,0,"Line_5",11936.0645309296,1
"69","Indica_AL","GY",2,1,NA,0.2,"Line_282",11335.5620473827,11335.5620473827,"Line_282",11948.1120394368,11335.5620473827,"Line_282",11948.1120394368,0
"70","Indica_AL","GY",2,1,NA,0.2,"Line_71",10708.0444929967,0,"Line_71",10202.3860653503,0,"Line_71",10202.3860653503,0
"71","Indica_AL","GY",2,1,NA,0.2,"Line_259",9906.47847408428,0,"Line_259",10352.7570193261,0,"Line_259",10352.7570193261,1
"72","Indica_AL","GY",2,1,NA,0.2,"Line_166",9934.50681958942,0,"Line_166",10090.9421414517,0,"Line_166",10090.9421414517,0
"73","Indica_AL","GY",2,1,NA,0.2,"Line_216",10768.3148123966,0,"Line_216",10678.1884670397,0,"Line_216",10678.1884670397,1
"74","Indica_AL","GY",2,1,NA,0.2,"Line_8",11393.7199692921,11393.7199692921,"Line_8",10399.518169708,11393.7199692921,"Line_8",10399.518169708,0
"75","Indica_AL","GY",2,1,NA,0.2,"Line_84",11330.5915990778,0,"Line_84",11141.9523695389,0,"Line_84",11141.9523695389,0
"76","Indica_AL","GY",2,1,NA,0.2,"Line_155",11139.8435219584,0,"Line_155",10502.9633024752,0,"Line_155",10502.9633024752,1
"77","Indica_AL","GY",2,1,NA,0.2,"Line_220",10838.339062432,0,"Line_220",11433.4030270708,0,"Line_220",11433.4030270708,1
"78","Indica_AL","GY",2,1,NA,0.2,"Line_306",11209.2486184157,0,"Line_306",11440.6370727174,0,"Line_306",11440.6370727174,0
"79","Indica_AL","GY",2,1,NA,0.2,"Line_64",10547.0153043137,0,"Line_64",10095.050318717,0,"Line_64",10095.050318717,0
"80","Indica_AL","GY",2,1,NA,0.2,"Line_147",10832.5338483161,0,"Line_147",10983.9754156527,0,"Line_147",10983.9754156527,0
"81","Indica_AL","GY",2,1,NA,0.2,"Line_2",10957.4929346617,0,"Line_2",11560.4220852041,0,"Line_2",11560.4220852041,1
"82","Indica_AL","GY",2,1,NA,0.2,"Line_252",11330.6312654802,0,"Line_252",10965.56081736,0,"Line_252",10965.56081736,1
"83","Indica_AL","GY",2,1,NA,0.2,"Line_132",11320.9350430485,0,"Line_132",11394.8514555062,0,"Line_132",11394.8514555062,0
"84","Indica_AL","GY",2,1,NA,0.2,"Line_198",10710.0372760482,0,"Line_198",9620.33085325019,0,"Line_198",9620.33085325019,0
"85","Indica_AL","GY",2,1,NA,0.2,"Line_228",9854.11407894264,0,"Line_228",9647.5501516684,0,"Line_228",9647.5501516684,0
"86","Indica_AL","GY",2,1,NA,0.2,"Line_139",9877.26056345854,0,"Line_139",9437.92040900131,0,"Line_139",9437.92040900131,0
"87","Indica_AL","GY",2,1,NA,0.2,"Line_312",9770.32695281233,0,"Line_312",10520.8067427011,0,"Line_312",10520.8067427011,0
"88","Indica_AL","GY",2,1,NA,0.2,"Line_286",11346.5531055891,11346.5531055891,"Line_286",11558.4281635766,11346.5531055891,"Line_286",11558.4281635766,0
"89","Indica_AL","GY",2,1,NA,0.2,"Line_219",11173.1598925159,0,"Line_219",11671.2621294128,0,"Line_219",11671.2621294128,0
"90","Indica_AL","GY",2,1,NA,0.2,"Line_106",11333.0444929791,11333.0444929791,"Line_106",10541.7833376534,11333.0444929791,"Line_106",10541.7833376534,0
"91","Indica_AL","GY",2,1,NA,0.2,"Line_215",10735.3914680099,0,"Line_215",11682.9212725048,0,"Line_215",11682.9212725048,0
"92","Indica_AL","GY",2,1,NA,0.2,"Line_318",10052.6954656869,0,"Line_318",8937.98184328446,0,"Line_318",8937.98184328446,0
"93","Indica_AL","GY",2,1,NA,0.2,"Line_100",11299.6208714598,0,"Line_100",10472.9874034097,0,"Line_100",10472.9874034097,0
"94","Indica_AL","GY",2,1,NA,0.2,"Line_214",10934.701444519,0,"Line_214",11964.967347253,0,"Line_214",11964.967347253,1
"95","Indica_AL","GY",2,1,NA,0.2,"Line_95",11245.7454423011,0,"Line_95",11256.122832691,0,"Line_95",11256.122832691,0
"96","Indica_AL","GY",2,1,NA,0.2,"Line_87",11333.7635517932,0,"Line_87",11231.3440987667,0,"Line_87",11231.3440987667,0
"97","Indica_AL","GY",2,1,NA,0.2,"Line_50",11328.0271247846,0,"Line_50",10842.6613693718,0,"Line_50",10842.6613693718,1
"98","Indica_AL","GY",2,1,NA,0.2,"Line_105",11337.7601152423,11337.7601152423,"Line_105",11232.7865612555,11337.7601152423,"Line_105",11232.7865612555,0
"99","Indica_AL","GY",2,1,NA,0.2,"Line_246",11331.6016330351,0,"Line_246",8667.94139087113,0,"Line_246",8667.94139087113,0
"100","Indica_AL","GY",2,1,NA,0.2,"Line_131",11338.2877466409,11338.2877466409,"Line_131",12255.4067221208,11338.2877466409,"Line_131",12255.4067221208,0
"101","Indica_AL","GY",2,1,NA,0.2,"Line_301",11120.4130598638,0,"Line_301",11287.4788227893,0,"Line_301",11287.4788227893,0
"102","Indica_AL","GY",2,1,NA,0.2,"Line_232",10433.6427506201,0,"Line_232",10193.0952618376,0,"Line_232",10193.0952618376,0
