"","Data","Trait","testing_proportion","Fold","k","Env","Top_percentage_to_select","PM","PM_True","PM_Total_Rand","TBV_QP","TBV_Trad","TBV_Trad_True","TBV_Total_Rand","Mean_BV_QP","Mean_BV_Trad","Mean_BV_Trad_True","Mean_BV_Total_Rand","Var_Opt_QP","Var_Trad","Var_Trad_True","Var_Total_Rand","Expected_Loss_QP","Expected_Loss_Trad","Expected_Loss_Trad_True","Expected_Loss_Total_Rand","Ratio_QP","Ratio_Trad","Ratio_Trad_True","Ratio_Total_Rand","Ave_Rel_QP","Ave_Rel_Trad","Ave_Rel_Trad_True","Ave_Rel_Total_Rand"
"1","Japonica_AL","GY",0.2,1,1,NA,0.2,100,58.3333333333333,8.33333333333333,114167.996747058,114167.996747058,119737.324043811,97446.9606154554,8782.15359592755,8782.15359592755,9210.56338798547,7495.92004734273,30.6804601628532,30.6804601628532,20.1268638214566,8.47529108108208,114137.316286895,114137.316286895,119717.19717999,97438.4853243744,3721.19571026802,3721.19571026802,5949.12973556083,11497.7715435602,0.133726965132641,0.133726965132641,0.049552901069353,-0.00795788743544004
"2","Japonica_AL","GY",0.2,2,1,NA,0.2,100,66.6666666666667,25,114017.718452781,114017.718452781,120640.767334179,102389.506021532,8770.59372713701,8770.59372713701,9280.05902570607,7876.11584781016,24.7303652729052,24.7303652729052,16.3379229054173,14.5639085649847,113992.988087508,113992.988087508,120624.429411273,102374.942112967,4610.43406332942,4610.43406332942,7384.09454081687,7030.35902516598,0.105345883601417,0.105345883601417,0.0318684225100051,0.0384731847407898
"3","Japonica_AL","GY",0.2,3,1,NA,0.2,100,66.6666666666667,25,114313.724788396,114313.724788396,121256.731669948,101795.521639186,8793.36344526121,8793.36344526121,9327.44089768832,7830.42474147582,33.6979345691265,33.6979345691265,27.3000343414297,14.7731805856805,114280.026853827,114280.026853827,121229.431635607,101780.7484586,3392.30656863842,3392.30656863842,4441.63293545506,6890.56233008181,0.163604941511019,0.163604941511019,0.120670437455743,0.0484838055943161
"4","Japonica_AL","GY",0.2,4,1,NA,0.2,100,50,8.33333333333333,114380.689866972,114380.689866972,117905.26903519,97756.7052939605,8798.51460515167,8798.51460515167,9069.63607962998,7519.74656107389,26.4970626226875,26.4970626226875,15.7900589561199,10.0753494645596,114354.192804349,114354.192804349,117889.478976234,97746.629944496,4316.73093337659,4316.73093337659,7467.05692251339,9702.56224241383,0.121017139059498,0.121017139059498,0.0464207444701949,-0.0226487616808015
"5","Japonica_AL","GY",0.2,5,1,NA,0.2,100,66.6666666666667,0,114177.093425509,114177.093425509,119460.38844179,99094.251500206,8782.8533404238,8782.8533404238,9189.2606493685,7622.63473078508,24.5898035639699,24.5898035639699,16.6364886018848,7.81262557888721,114152.503621945,114152.503621945,119443.751953189,99086.4388746271,4643.2698467265,4643.2698467265,7180.62514876226,12683.8603104183,0.108820305488122,0.108820305488122,0.0413300978436456,-0.0364253112413678
