"","Data","Trait","Fold","k","Env","Top_percentage_to_select","Line","Observed","Predicted","Line.1","Observed.1","Predicted.1","Line.2","Observed.2","Predicted.2"
"36","Japonica_AL","GY",1,1,NA,0.2,"Line_118",8283.27481664453,0,"Line_118",7210.32806195717,0,"Line_118",7210.32806195717,0
"37","Japonica_AL","GY",1,1,NA,0.2,"Line_285",8290.4328802333,0,"Line_285",8871.56671492427,0,"Line_285",8871.56671492427,0
"38","Japonica_AL","GY",1,1,NA,0.2,"Line_306",8898.35897192459,8898.35897192459,"Line_306",9167.5175777794,8898.35897192459,"Line_306",9167.5175777794,0
"39","Japonica_AL","GY",1,1,NA,0.2,"Line_273",8532.00202213309,0,"Line_273",7973.07286233962,0,"Line_273",7973.07286233962,1
"40","Japonica_AL","GY",1,1,NA,0.2,"Line_192",8274.68740904571,0,"Line_192",8232.02386173065,0,"Line_192",8232.02386173065,0
"41","Japonica_AL","GY",1,1,NA,0.2,"Line_4",8304.12604736682,0,"Line_4",7941.23821511849,0,"Line_4",7941.23821511849,0
"42","Japonica_AL","GY",1,1,NA,0.2,"Line_63",8578.64096887337,0,"Line_63",8621.30996641422,0,"Line_63",8621.30996641422,0
"43","Japonica_AL","GY",1,1,NA,0.2,"Line_191",8039.11736010199,0,"Line_191",7437.01066178218,0,"Line_191",7437.01066178218,1
"44","Japonica_AL","GY",1,1,NA,0.2,"Line_11",8282.56721276773,0,"Line_11",7485.67933225877,0,"Line_11",7485.67933225877,0
"45","Japonica_AL","GY",1,1,NA,0.2,"Line_94",8332.05575870114,0,"Line_94",7564.265812912,0,"Line_94",7564.265812912,0
"46","Japonica_AL","GY",1,1,NA,0.2,"Line_258",8424.57139041251,0,"Line_258",9391.28233551528,0,"Line_258",9391.28233551528,0
"47","Japonica_AL","GY",1,1,NA,0.2,"Line_198",8260.16229665107,0,"Line_198",8121.6227663497,0,"Line_198",8121.6227663497,0
"48","Japonica_AL","GY",1,1,NA,0.2,"Line_174",8494.56917082766,0,"Line_174",8731.7395549115,0,"Line_174",8731.7395549115,0
"49","Japonica_AL","GY",1,1,NA,0.2,"Line_124",8228.62920228264,0,"Line_124",7717.29640819195,0,"Line_124",7717.29640819195,0
"50","Japonica_AL","GY",1,1,NA,0.2,"Line_226",8439.95974957048,0,"Line_226",9034.67756042447,0,"Line_226",9034.67756042447,0
"51","Japonica_AL","GY",1,1,NA,0.2,"Line_37",8726.65771762565,8726.65771762565,"Line_37",8972.40396750201,8726.65771762565,"Line_37",8972.40396750201,1
"52","Japonica_AL","GY",1,1,NA,0.2,"Line_299",8530.74255548604,0,"Line_299",9326.91309451937,0,"Line_299",9326.91309451937,0
"53","Japonica_AL","GY",1,1,NA,0.2,"Line_196",8200.9529314558,0,"Line_196",8173.93460812427,0,"Line_196",8173.93460812427,0
"54","Japonica_AL","GY",1,1,NA,0.2,"Line_128",7963.11039920289,0,"Line_128",8276.2165778039,0,"Line_128",8276.2165778039,0
"55","Japonica_AL","GY",1,1,NA,0.2,"Line_68",7947.25355123784,0,"Line_68",8333.28036204156,0,"Line_68",8333.28036204156,0
"56","Japonica_AL","GY",1,1,NA,0.2,"Line_233",8894.70297445051,8894.70297445051,"Line_233",8714.24576465866,8894.70297445051,"Line_233",8714.24576465866,0
"57","Japonica_AL","GY",1,1,NA,0.2,"Line_190",8289.21013566802,0,"Line_190",7741.68306585571,0,"Line_190",7741.68306585571,1
"58","Japonica_AL","GY",1,1,NA,0.2,"Line_23",8368.68179753115,0,"Line_23",8621.31375529988,0,"Line_23",8621.31375529988,0
"59","Japonica_AL","GY",1,1,NA,0.2,"Line_205",8137.90795669825,0,"Line_205",7689.01716006476,0,"Line_205",7689.01716006476,0
"60","Japonica_AL","GY",1,1,NA,0.2,"Line_195",8399.57718965549,0,"Line_195",7918.15343119012,0,"Line_195",7918.15343119012,0
"61","Japonica_AL","GY",1,1,NA,0.2,"Line_156",8885.7319942365,8885.7319942365,"Line_156",8659.05657116355,8885.7319942365,"Line_156",8659.05657116355,0
"62","Japonica_AL","GY",1,1,NA,0.2,"Line_300",8521.54967505048,0,"Line_300",8281.71077493228,0,"Line_300",8281.71077493228,0
"63","Japonica_AL","GY",1,1,NA,0.2,"Line_60",8249.5706588515,0,"Line_60",7952.57178824791,0,"Line_60",7952.57178824791,0
"64","Japonica_AL","GY",1,1,NA,0.2,"Line_144",8257.2577728625,0,"Line_144",7612.2756054744,0,"Line_144",7612.2756054744,0
"65","Japonica_AL","GY",2,1,NA,0.2,"Line_278",8470.87857457975,0,"Line_278",7710.38082620956,0,"Line_278",7710.38082620956,0
"66","Japonica_AL","GY",2,1,NA,0.2,"Line_46",8405.76284366085,0,"Line_46",8290.27094846738,0,"Line_46",8290.27094846738,0
"67","Japonica_AL","GY",2,1,NA,0.2,"Line_56",8104.99265015432,0,"Line_56",8200.46296599998,0,"Line_56",8200.46296599998,0
"68","Japonica_AL","GY",2,1,NA,0.2,"Line_283",8378.30200948362,0,"Line_283",7980.53862939181,0,"Line_283",7980.53862939181,0
"69","Japonica_AL","GY",2,1,NA,0.2,"Line_78",7895.22255660356,0,"Line_78",7854.39700435593,0,"Line_78",7854.39700435593,0
"70","Japonica_AL","GY",2,1,NA,0.2,"Line_26",8181.7102770195,0,"Line_26",8791.58905279326,0,"Line_26",8791.58905279326,1
"71","Japonica_AL","GY",2,1,NA,0.2,"Line_166",8647.63670635749,8647.63670635749,"Line_166",9514.89543314188,8647.63670635749,"Line_166",9514.89543314188,0
"72","Japonica_AL","GY",2,1,NA,0.2,"Line_217",8233.08313387712,0,"Line_217",7543.78915841527,0,"Line_217",7543.78915841527,1
"73","Japonica_AL","GY",2,1,NA,0.2,"Line_86",8133.87370393059,0,"Line_86",7841.48317958062,0,"Line_86",7841.48317958062,0
"74","Japonica_AL","GY",2,1,NA,0.2,"Line_90",7652.44513495384,0,"Line_90",7492.66359476446,0,"Line_90",7492.66359476446,0
"75","Japonica_AL","GY",2,1,NA,0.2,"Line_155",8942.9806644969,8942.9806644969,"Line_155",9277.39823674535,8942.9806644969,"Line_155",9277.39823674535,0
"76","Japonica_AL","GY",2,1,NA,0.2,"Line_221",8575.89014895859,0,"Line_221",8974.49251653094,0,"Line_221",8974.49251653094,1
"77","Japonica_AL","GY",2,1,NA,0.2,"Line_307",8709.64918552993,8709.64918552993,"Line_307",8893.54165507727,8709.64918552993,"Line_307",8893.54165507727,0
"78","Japonica_AL","GY",2,1,NA,0.2,"Line_70",7729.36344122141,0,"Line_70",7878.26374752112,0,"Line_70",7878.26374752112,0
"79","Japonica_AL","GY",2,1,NA,0.2,"Line_147",7978.14722985133,0,"Line_147",8219.92217986519,0,"Line_147",8219.92217986519,1
"80","Japonica_AL","GY",2,1,NA,0.2,"Line_20",8521.7650440147,0,"Line_20",7816.59735382634,0,"Line_20",7816.59735382634,0
"81","Japonica_AL","GY",2,1,NA,0.2,"Line_253",8736.63010879183,8736.63010879183,"Line_253",9288.56353067895,8736.63010879183,"Line_253",9288.56353067895,1
"82","Japonica_AL","GY",2,1,NA,0.2,"Line_132",8524.35071239268,0,"Line_132",8745.87035343479,0,"Line_132",8745.87035343479,0
"83","Japonica_AL","GY",2,1,NA,0.2,"Line_198",8209.35912281441,0,"Line_198",8121.6227663497,0,"Line_198",8121.6227663497,0
"84","Japonica_AL","GY",2,1,NA,0.2,"Line_229",8400.93225664663,0,"Line_229",9661.24873784024,0,"Line_229",9661.24873784024,0
"85","Japonica_AL","GY",2,1,NA,0.2,"Line_139",8821.68028878584,8821.68028878584,"Line_139",8551.80976806756,8821.68028878584,"Line_139",8551.80976806756,1
"86","Japonica_AL","GY",2,1,NA,0.2,"Line_313",8432.76878070794,0,"Line_313",6916.97603243261,0,"Line_313",6916.97603243261,0
"87","Japonica_AL","GY",2,1,NA,0.2,"Line_287",8178.8908921418,0,"Line_287",8667.28300511528,0,"Line_287",8667.28300511528,0
"88","Japonica_AL","GY",2,1,NA,0.2,"Line_22",8263.90493566547,0,"Line_22",7700.76457737558,0,"Line_22",7700.76457737558,0
"89","Japonica_AL","GY",2,1,NA,0.2,"Line_106",7784.9433318518,0,"Line_106",7163.49008328722,0,"Line_106",7163.49008328722,0
"90","Japonica_AL","GY",2,1,NA,0.2,"Line_216",8500.36716381023,0,"Line_216",8205.50753986768,0,"Line_216",8205.50753986768,0
"91","Japonica_AL","GY",2,1,NA,0.2,"Line_319",8090.66388175767,0,"Line_319",7626.17690080435,0,"Line_319",7626.17690080435,0
"92","Japonica_AL","GY",2,1,NA,0.2,"Line_100",8256.13540878925,0,"Line_100",7293.9419286684,0,"Line_100",7293.9419286684,0
"93","Japonica_AL","GY",2,1,NA,0.2,"Line_215",8511.54201614925,0,"Line_215",8572.54645400946,0,"Line_215",8572.54645400946,1
"94","Japonica_AL","GY",2,1,NA,0.2,"Line_87",7633.59411037051,0,"Line_87",7624.0629203928,0,"Line_87",7624.0629203928,0
"95","Japonica_AL","GY",2,1,NA,0.2,"Line_57",8121.53439412306,0,"Line_57",8023.38407749969,0,"Line_57",8023.38407749969,0
"96","Japonica_AL","GY",2,1,NA,0.2,"Line_105",8151.21424205166,0,"Line_105",8987.97563039328,0,"Line_105",8987.97563039328,1
"97","Japonica_AL","GY",2,1,NA,0.2,"Line_247",8817.00612671913,8817.00612671913,"Line_247",9744.68973093244,8817.00612671913,"Line_247",9744.68973093244,0
"98","Japonica_AL","GY",2,1,NA,0.2,"Line_131",8596.2835537465,8596.2835537465,"Line_131",9536.25485327739,8596.2835537465,"Line_131",9536.25485327739,0
"99","Japonica_AL","GY",2,1,NA,0.2,"Line_302",8445.14943248984,0,"Line_302",8386.7260407722,0,"Line_302",8386.7260407722,0
"100","Japonica_AL","GY",2,1,NA,0.2,"Line_233",8951.10746716063,8951.10746716063,"Line_233",8714.24576465866,8951.10746716063,"Line_233",8714.24576465866,0
"101","Japonica_AL","GY",2,1,NA,0.2,"Line_284",8274.30827549857,0,"Line_284",8104.5073903067,0,"Line_284",8104.5073903067,0
"102","Japonica_AL","GY",2,1,NA,0.2,"Line_317",8213.11501424352,0,"Line_317",7734.72249184509,0,"Line_317",7734.72249184509,0
"103","Japonica_AL","GY",2,1,NA,0.2,"Line_138",8556.31629915872,0,"Line_138",8378.8579172244,0,"Line_138",8378.8579172244,0
"104","Japonica_AL","GY",2,1,NA,0.2,"Line_59",8116.2934449611,0,"Line_59",8859.01152168497,0,"Line_59",8859.01152168497,0
"105","Japonica_AL","GY",2,1,NA,0.2,"Line_24",8316.47137294896,0,"Line_24",8082.13330127491,0,"Line_24",8082.13330127491,1
"106","Japonica_AL","GY",2,1,NA,0.2,"Line_77",7839.3101868031,0,"Line_77",8219.88713372035,0,"Line_77",8219.88713372035,0
"107","Japonica_AL","GY",2,1,NA,0.2,"Line_194",8406.40900142301,0,"Line_194",8235.41229046711,0,"Line_194",8235.41229046711,0
"108","Japonica_AL","GY",2,1,NA,0.2,"Line_257",8284.11407117509,0,"Line_257",8389.52311020252,0,"Line_257",8389.52311020252,0
"109","Japonica_AL","GY",2,1,NA,0.2,"Line_263",8784.26261243297,8784.26261243297,"Line_263",9080.08515883054,8784.26261243297,"Line_263",9080.08515883054,0
"110","Japonica_AL","GY",2,1,NA,0.2,"Line_300",8608.9782178952,8608.9782178952,"Line_300",8281.71077493228,8608.9782178952,"Line_300",8281.71077493228,0
"111","Japonica_AL","GY",2,1,NA,0.2,"Line_54",8085.06930544917,0,"Line_54",7630.96496713397,0,"Line_54",7630.96496713397,0
"112","Japonica_AL","GY",2,1,NA,0.2,"Line_11",8298.23958746938,0,"Line_11",7485.67933225877,0,"Line_11",7485.67933225877,0
"113","Japonica_AL","GY",2,1,NA,0.2,"Line_27",8038.02195277116,0,"Line_27",7676.25667163705,0,"Line_27",7676.25667163705,0
