"","Data","Trait","testing_proportion","Fold","k","Env","Top_percentage_to_select","PM","PM_True","PM_Total_Rand","TBV_QP","TBV_Trad","TBV_Trad_True","TBV_Total_Rand","Mean_BV_QP","Mean_BV_Trad","Mean_BV_Trad_True","Mean_BV_Total_Rand","Var_Opt_QP","Var_Trad","Var_Trad_True","Var_Total_Rand","Expected_Loss_QP","Expected_Loss_Trad","Expected_Loss_Trad_True","Expected_Loss_Total_Rand","Ratio_QP","Ratio_Trad","Ratio_Trad_True","Ratio_Total_Rand","Ave_Rel_QP","Ave_Rel_Trad","Ave_Rel_Trad_True","Ave_Rel_Total_Rand"
"1","Groundnut_AL","PYPP",0.2,1,1,NA,0.2,75,58.3333333333333,8.33333333333333,146.27358749639,151.212387959916,173.629799480682,109.252047411011,11.2518144227992,11.6317221507628,13.3561384215909,8.40400364700085,260.346321393998,295.315101645692,324.708978702807,282.224225556631,-114.072733897608,-144.102713685776,-151.079179222126,-172.97217814562,0.561842344125251,0.512037437697091,0.534724355865742,0.387110805939969,1.51635453123837,1.72234995159729,1.89412062203689,1.93012225351286
"2","Groundnut_AL","PYPP",0.2,2,1,NA,0.2,58.3333333333333,33.3333333333333,8.33333333333333,140.62988760282,145.575703748832,168.761343594831,114.631592356311,10.8176836617554,11.1981310576024,12.981641814987,8.8178147966393,255.755566311713,284.26669893514,299.091844143272,296.413359148112,-115.125678708893,-138.690995186309,-130.330500548441,-181.781766791801,0.549860515768487,0.512109593892484,0.564245889346251,0.386728832619962,1.48976717055129,1.6564028098394,1.7410610122372,2.03048270703159
"3","Groundnut_AL","PYPP",0.2,3,1,NA,0.2,58.3333333333333,50,16.6666666666667,148.024366478139,159.586582366788,179.76222085763,120.342586870238,11.3864897290876,12.2758909512914,13.8278631428946,9.2571220669414,259.650048402711,302.170619554695,317.203170377541,307.577081316554,-111.625681924572,-142.584037187907,-137.440949519911,-187.234494446316,0.57009181160851,0.528134014491446,0.566710038375953,0.391259928584807,1.51331850224638,1.76434240573882,1.85044338123961,2.10612844319282
"4","Groundnut_AL","PYPP",0.2,4,1,NA,0.2,66.6666666666667,41.6666666666667,16.6666666666667,145.936621894357,152.80143308582,165.136340952052,108.379148951566,11.2258939918736,11.7539563912169,12.7027954578502,8.33685761165895,257.740682478219,304.274443368829,307.130808325266,309.896297192643,-111.804060583862,-151.473010283009,-141.994467373214,-201.517148241076,0.566214927698463,0.502182935227986,0.537674295367871,0.34972715044799,1.50088272892,1.77527955668082,1.79095613969767,2.12213433952301
"5","Groundnut_AL","PYPP",0.2,5,1,NA,0.2,58.3333333333333,41.6666666666667,25,146.315157450871,155.193662593407,170.43734644266,118.518675857649,11.2550121116054,11.9379740456467,13.1105651109738,9.11682121981919,260.455711519845,312.406461761859,313.409002904163,276.34257018393,-114.140554068974,-157.212799168452,-142.971656461503,-157.823894326281,0.56176597778207,0.496768414194031,0.543817646791651,0.428883164033558,1.51700765755703,1.82348834611661,1.82783373048378,1.88828691073367
