"","Data","Trait","Top_percentage_to_select","K_Value","Line","Observed","Predicted"
"71","Rice_Kim_2020","T1",0.1,0.5,"B1203",3688,0
"72","Rice_Kim_2020","T1",0.1,0.5,"B1205",3625.33333333333,0
"73","Rice_Kim_2020","T1",0.1,0.5,"B1206",3589.33333333333,0
"74","Rice_Kim_2020","T1",0.1,0.5,"B1207",3501,0
"75","Rice_Kim_2020","T1",0.1,0.5,"B1208",3766.66666666667,0
"76","Rice_Kim_2020","T1",0.1,0.5,"B1209",3469,0
"77","Rice_Kim_2020","T1",0.1,0.5,"B1210",3455.33333333333,0
"78","Rice_Kim_2020","T1",0.1,0.5,"B1211",3564.33333333333,0
"79","Rice_Kim_2020","T1",0.1,0.5,"B1216",3292,0
"80","Rice_Kim_2020","T1",0.1,0.5,"B1217",3469,0
"81","Rice_Kim_2020","T1",0.1,0.5,"B1218",3675.66666666667,0
"82","Rice_Kim_2020","T1",0.1,0.5,"B1219",4006,4006
"83","Rice_Kim_2020","T1",0.1,0.5,"B1220",3598,0
"84","Rice_Kim_2020","T1",0.1,0.5,"M1345",3346.33333333333,0
"85","Rice_Kim_2020","T1",0.1,0.5,"M1347",3274.33333333333,0
"86","Rice_Kim_2020","T1",0.1,0.5,"M1351",3586.33333333333,0
"87","Rice_Kim_2020","T1",0.1,0.5,"M1353",3580.66666666667,0
"88","Rice_Kim_2020","T1",0.1,0.5,"M1354",3545,0
"89","Rice_Kim_2020","T1",0.1,0.5,"M1356",3854.66666666667,0
"90","Rice_Kim_2020","T1",0.1,0.5,"M1357",3498,0
"91","Rice_Kim_2020","T1",0.1,0.5,"M1358",3476,0
"92","Rice_Kim_2020","T1",0.1,0.5,"M1359",3393.33333333333,0
"93","Rice_Kim_2020","T1",0.1,0.5,"M1360",3484.33333333333,0
"94","Rice_Kim_2020","T1",0.1,0.5,"M1361",3684.66666666667,0
"95","Rice_Kim_2020","T1",0.1,0.5,"M1362",3427.33333333333,0
"96","Rice_Kim_2020","T1",0.1,0.5,"M1363",3555,0
"97","Rice_Kim_2020","T1",0.1,0.5,"M1364",3435.33333333333,0
"98","Rice_Kim_2020","T1",0.1,0.5,"M1365",3622.66666666667,0
"99","Rice_Kim_2020","T1",0.1,0.5,"M1366",3461.33333333333,0
"100","Rice_Kim_2020","T1",0.1,0.5,"M1367",3344,0
"101","Rice_Kim_2020","T1",0.1,0.5,"M1368",3618.66666666667,0
"102","Rice_Kim_2020","T1",0.1,0.5,"M1463",3451.66666666667,0
"103","Rice_Kim_2020","T1",0.1,0.5,"M1464",3561,0
"104","Rice_Kim_2020","T1",0.1,0.5,"M1465",3195.33333333333,0
"105","Rice_Kim_2020","T1",0.1,0.5,"M1467",3429,0
"106","Rice_Kim_2020","T1",0.1,0.5,"M1469",3485.33333333333,0
"107","Rice_Kim_2020","T1",0.1,0.5,"M1471",3415.33333333333,0
"108","Rice_Kim_2020","T1",0.1,1,"A1257",3457.33333333333,0
"109","Rice_Kim_2020","T1",0.1,1,"A1258",3911,0
"110","Rice_Kim_2020","T1",0.1,1,"A1259",3836,0
"111","Rice_Kim_2020","T1",0.1,1,"A1260",3611.66666666667,0
"112","Rice_Kim_2020","T1",0.1,1,"A1261",4085,4085
"113","Rice_Kim_2020","T1",0.1,1,"A1262",4449.33333333333,4449.33333333333
"114","Rice_Kim_2020","T1",0.1,1,"A1263",3872.66666666667,0
"115","Rice_Kim_2020","T1",0.1,1,"A1264",3700.33333333333,0
"116","Rice_Kim_2020","T1",0.1,1,"A1265",3565.66666666667,0
"117","Rice_Kim_2020","T1",0.1,1,"A1267",3408,0
"118","Rice_Kim_2020","T1",0.1,1,"A1268",3435,0
"119","Rice_Kim_2020","T1",0.1,1,"A1269",3767,0
"120","Rice_Kim_2020","T1",0.1,1,"A1270",3720,0
"121","Rice_Kim_2020","T1",0.1,1,"A1272",3919.33333333333,0
"122","Rice_Kim_2020","T1",0.1,1,"A1273",3866.66666666667,0
"123","Rice_Kim_2020","T1",0.1,1,"A1274",4029,4029
"124","Rice_Kim_2020","T1",0.1,1,"A1275",3743.33333333333,0
"125","Rice_Kim_2020","T1",0.1,1,"A1276",3750.66666666667,0
"126","Rice_Kim_2020","T1",0.1,1,"A1277",3715.66666666667,0
"127","Rice_Kim_2020","T1",0.1,1,"A1279",3714.33333333333,0
"128","Rice_Kim_2020","T1",0.1,1,"A1302",3913.66666666667,0
"129","Rice_Kim_2020","T1",0.1,1,"A1304",4162.33333333333,4162.33333333333
"130","Rice_Kim_2020","T1",0.1,1,"A1307",3955.66666666667,3955.66666666667
"131","Rice_Kim_2020","T1",0.1,1,"A1309",3821.66666666667,0
"132","Rice_Kim_2020","T1",0.1,1,"A1310",3826,0
"133","Rice_Kim_2020","T1",0.1,1,"A1311",3748,0
"134","Rice_Kim_2020","T1",0.1,1,"A1312",3824.66666666667,0
"135","Rice_Kim_2020","T1",0.1,1,"A1313",3705.33333333333,0
"136","Rice_Kim_2020","T1",0.1,1,"A1314",3633.66666666667,0
"137","Rice_Kim_2020","T1",0.1,1,"A1316",3826.66666666667,0
"138","Rice_Kim_2020","T1",0.1,1,"A1317",3789.66666666667,0
"139","Rice_Kim_2020","T1",0.1,1,"A1318",3566.33333333333,0
"140","Rice_Kim_2020","T1",0.1,1,"A1319",3638,0
"141","Rice_Kim_2020","T1",0.1,1,"A1320",3344.66666666667,0
"142","Rice_Kim_2020","T1",0.1,1,"A1321",3484.66666666667,0
"143","Rice_Kim_2020","T1",0.1,1,"B1005",3829.33333333333,0
"144","Rice_Kim_2020","T1",0.1,1,"B1007",4259.66666666667,4259.66666666667
"145","Rice_Kim_2020","T1",0.1,1,"B1008",3924,0
"146","Rice_Kim_2020","T1",0.1,1,"B1009",4189.66666666667,4189.66666666667
"147","Rice_Kim_2020","T1",0.1,1,"B1010",3960.33333333333,3960.33333333333
"148","Rice_Kim_2020","T1",0.1,1,"B1011",3869.66666666667,0
"149","Rice_Kim_2020","T1",0.1,1,"B1012",3703,0
"150","Rice_Kim_2020","T1",0.1,1,"B1019",3510.33333333333,0
"151","Rice_Kim_2020","T1",0.1,1,"B1053",3761.33333333333,0
"152","Rice_Kim_2020","T1",0.1,1,"B1055",3781.33333333333,0
"153","Rice_Kim_2020","T1",0.1,1,"B1057",3716.66666666667,0
"154","Rice_Kim_2020","T1",0.1,1,"B1058",3614,0
"155","Rice_Kim_2020","T1",0.1,1,"B1060",3756,0
"156","Rice_Kim_2020","T1",0.1,1,"B1061",3583.33333333333,0
"157","Rice_Kim_2020","T1",0.1,1,"B1062",3991.66666666667,3991.66666666667
"158","Rice_Kim_2020","T1",0.1,1,"B1075",3869.33333333333,0
"159","Rice_Kim_2020","T1",0.1,1,"B1102",3789.66666666667,0
"160","Rice_Kim_2020","T1",0.1,1,"B1103",3728,0
"161","Rice_Kim_2020","T1",0.1,1,"B1104",3667,0
"162","Rice_Kim_2020","T1",0.1,1,"B1105",3729.33333333333,0
"163","Rice_Kim_2020","T1",0.1,1,"B1106",3807,0
"164","Rice_Kim_2020","T1",0.1,1,"B1107",3446.33333333333,0
"165","Rice_Kim_2020","T1",0.1,1,"B1110",3876.66666666667,0
"166","Rice_Kim_2020","T1",0.1,1,"B1111",3476,0
"167","Rice_Kim_2020","T1",0.1,1,"B1151",3678.66666666667,0
"168","Rice_Kim_2020","T1",0.1,1,"B1152",3566.33333333333,0
"169","Rice_Kim_2020","T1",0.1,1,"B1153",3790.33333333333,0
"170","Rice_Kim_2020","T1",0.1,1,"B1155",3459,0
"171","Rice_Kim_2020","T1",0.1,1,"B1157",3650.33333333333,0
"172","Rice_Kim_2020","T1",0.1,1,"B1158",4039.33333333333,4039.33333333333
"173","Rice_Kim_2020","T1",0.1,1,"B1159",3696,0
"174","Rice_Kim_2020","T1",0.1,1,"B1160",3797,0
"175","Rice_Kim_2020","T1",0.1,1,"B1161",3537,0
"176","Rice_Kim_2020","T1",0.1,1,"B1201",3858.66666666667,0
"177","Rice_Kim_2020","T1",0.1,1,"B1202",3769,0
"178","Rice_Kim_2020","T1",0.1,1,"B1203",3688,0
"179","Rice_Kim_2020","T1",0.1,1,"B1205",3625.33333333333,0
"180","Rice_Kim_2020","T1",0.1,1,"B1206",3589.33333333333,0
"181","Rice_Kim_2020","T1",0.1,1,"B1207",3501,0
"182","Rice_Kim_2020","T1",0.1,1,"B1208",3766.66666666667,0
"183","Rice_Kim_2020","T1",0.1,1,"B1209",3469,0
"184","Rice_Kim_2020","T1",0.1,1,"B1210",3455.33333333333,0
"185","Rice_Kim_2020","T1",0.1,1,"B1211",3564.33333333333,0
"186","Rice_Kim_2020","T1",0.1,1,"B1216",3292,0
"187","Rice_Kim_2020","T1",0.1,1,"B1217",3469,0
"188","Rice_Kim_2020","T1",0.1,1,"B1218",3675.66666666667,0
"189","Rice_Kim_2020","T1",0.1,1,"B1219",4006,4006
"190","Rice_Kim_2020","T1",0.1,1,"B1220",3598,0
"191","Rice_Kim_2020","T1",0.1,1,"M1345",3346.33333333333,0
"192","Rice_Kim_2020","T1",0.1,1,"M1347",3274.33333333333,0
"193","Rice_Kim_2020","T1",0.1,1,"M1351",3586.33333333333,0
"194","Rice_Kim_2020","T1",0.1,1,"M1353",3580.66666666667,0
"195","Rice_Kim_2020","T1",0.1,1,"M1354",3545,0
"196","Rice_Kim_2020","T1",0.1,1,"M1356",3854.66666666667,0
"197","Rice_Kim_2020","T1",0.1,1,"M1357",3498,0
"198","Rice_Kim_2020","T1",0.1,1,"M1358",3476,0
"199","Rice_Kim_2020","T1",0.1,1,"M1359",3393.33333333333,0
"200","Rice_Kim_2020","T1",0.1,1,"M1360",3484.33333333333,0
"201","Rice_Kim_2020","T1",0.1,1,"M1361",3684.66666666667,0
"202","Rice_Kim_2020","T1",0.1,1,"M1362",3427.33333333333,0
"203","Rice_Kim_2020","T1",0.1,1,"M1363",3555,0
"204","Rice_Kim_2020","T1",0.1,1,"M1364",3435.33333333333,0
"205","Rice_Kim_2020","T1",0.1,1,"M1365",3622.66666666667,0
"206","Rice_Kim_2020","T1",0.1,1,"M1366",3461.33333333333,0
"207","Rice_Kim_2020","T1",0.1,1,"M1367",3344,0
"208","Rice_Kim_2020","T1",0.1,1,"M1368",3618.66666666667,0
