"","Data","Trait","Top_percentage_to_select","K_Value","PM","TBV_QP","TBV_Trad","Mean_BV_QP","Mean_BV_Trad","Var_Opt_QP","Var_Trad","Expected_Loss_QP","Expected_Loss_Trad","Ratio_QP","Ratio_Trad","Av_Rel_QP","Ave_Rel_Trad"
"1","Rice_Kim_2020","T1",0.1,0.5,100,45128,45128,4102.54545454545,4102.54545454545,100.99586,100.99586,45027.00414,45027.00414,446.830196802126,446.830196802126,1.63628836363636,1.68076981818182
"2","Rice_Kim_2020","T1",0.1,1,100,45128,45128,4102.54545454545,4102.54545454545,201.99172,201.99172,44926.00828,44926.00828,223.415098401063,223.415098401063,1.63628836363636,1.68076981818182
"3","Rice_Kim_2020","T1",0.1,1.5,100,45128,45128,4102.54545454545,4102.54545454545,302.98758,302.98758,44825.01242,44825.01242,148.943398934042,148.943398934042,1.63628836363636,1.68076981818182
"4","Rice_Kim_2020","T1",0.1,2,100,45128,45128,4102.54545454545,4102.54545454545,403.98344,403.98344,44724.01656,44724.01656,111.707549200532,111.707549200532,1.63628836363636,1.68076981818182
"5","Rice_Kim_2020","T1",0.2,0.5,100,84009.6666666667,84009.6666666667,4000.46031746032,4000.46031746032,368.06109,368.06109,83641.6055766667,83641.6055766667,228.249247065662,228.249247065662,1.65267185714286,1.68857233333333
"6","Rice_Kim_2020","T1",0.2,1,100,84009.6666666667,84009.6666666667,4000.46031746032,4000.46031746032,736.12218,736.12218,83273.5444866667,83273.5444866667,114.124623532831,114.124623532831,1.65267185714286,1.68857233333333
"7","Rice_Kim_2020","T1",0.2,1.5,100,84009.6666666667,84009.6666666667,4000.46031746032,4000.46031746032,1104.18327,1104.18327,82905.4833966667,82905.4833966667,76.0830823552205,76.0830823552205,1.65267185714286,1.68857233333333
"8","Rice_Kim_2020","T1",0.2,2,100,84009.6666666667,84009.6666666667,4000.46031746032,4000.46031746032,1472.24436,1472.24436,82537.4223066667,82537.4223066667,57.0623117664154,57.0623117664154,1.65267185714286,1.68857233333333
"9","Rice_Kim_2020","T1",0.1,0.5,100,32474.3333333333,32474.3333333333,2952.21212121212,2952.21212121212,102.73289,102.73289,32371.6004433333,32371.6004433333,316.104543864514,316.104543864514,1.66787072727273,1.68076981818182
"10","Rice_Kim_2020","T1",0.1,1,100,32474.3333333333,32474.3333333333,2952.21212121212,2952.21212121212,205.46578,205.46578,32268.8675533333,32268.8675533333,158.052271932257,158.052271932257,1.66787072727273,1.68076981818182
